ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4533
Date: 5/9/2024
Start time: 2:37:37 PM
Stop time: 2:37:37 PM
Overruns:                                                            
Baudrate: 500 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:30:32.095","185","Std","","30 00 00 00 0D C9 00 00"
"00:30:32.096","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.096","185","Std","","20 00 0E 94 00 00 00 00"
"00:30:32.096","185","Std","","28 00 00 00 00 00 00 02"
"00:30:32.096","185","Std","","30 00 03 02 10 32 00 00"
"00:30:32.097","185","Std","","38 00 00 00 00 00 00 00"
"00:30:32.097","185","Std","","20 00 00 00 00 00 00 00"
"00:30:32.097","185","Std","","28 00 00 00 00 00 00 00"
"00:30:32.097","185","Std","","30 00 03 DC 00 00 00 00"
"00:30:32.098","185","Std","","5E 00 00 00 00 00 00 00"
"00:30:32.098","18F","Std","","00 F7 00 20 02 00 00 F1"
"00:30:32.098","18F","Std","","28 FB 00 00 00 00 00 00"
"00:30:32.098","18F","Std","","30 00 00 00 C0 00 00 00"
"00:30:32.099","18F","Std","","38 00 00 00 00 00 00 00"
"00:30:32.099","18F","Std","","47 00 00 00 00 00 00 00"
"00:30:32.099","287","Std","","00 05 00 26 06 26 00 22"
"00:30:32.099","287","Std","","28 00 A1 FF FF FF FF FF"
"00:30:32.100","287","Std","","30 FF 35 30 35 31 33 46"
"00:30:32.100","287","Std","","38 63 0F 63 00 FF FF FF"
"00:30:32.100","287","Std","","20 FF 30 30 44 45 FF FF"
"00:30:32.100","287","Std","","4E FF FF 36 36 35 41 00"
"00:30:32.104","112","Std","","00 F8 00 24 F8 00 00 00"
"00:30:32.105","112","Std","","28 00 00 F2 1D D8 01 78"
"00:30:32.105","112","Std","","30 02 88 02 58 49 FB 03"
"00:30:32.105","112","Std","","38 FE C4 CE AC 01 70 FE"
"00:30:32.105","112","Std","","20 D8 CE C8 01 54 FE D0"
"00:30:32.106","112","Std","","4C CE C8 01 40 00 00 00"
"00:30:32.117","373","Std","","00 55 00 1A 56 C9 07 09"
"00:30:32.117","373","Std","","28 02 02 02 02 02 02 00"
"00:30:32.118","373","Std","","30 03 02 02 02 00 03 1C"
"00:30:32.118","373","Std","","38 02 1F 00 00 00 00 00"
"00:30:32.118","373","Std","","41 00 00 00 00 00 00 00"
"00:30:32.118","111","Std","","00 FB 00 24 FB 00 00 00"
"00:30:32.119","111","Std","","28 00 00 F2 2A D8 01 78"
"00:30:32.119","111","Std","","30 02 88 02 58 E0 FE 03"
"00:30:32.119","111","Std","","38 FE DC D1 F4 00 A8 FE"
"00:30:32.119","111","Std","","20 C8 D2 04 00 BC FE BC"
"00:30:32.120","111","Std","","4C D2 00 00 AC 00 00 00"
"00:30:32.132","209","Std","","00 56 00 0B 55 CB BC FF"
"00:30:32.133","209","Std","","4F FE FF FF FF FF FF 00"
"00:30:32.133","374","Std","","00 56 00 1A 57 C9 08 0A"
"00:30:32.133","374","Std","","28 02 02 02 02 02 02 00"
"00:30:32.134","374","Std","","30 03 02 02 02 00 03 1C"
"00:30:32.134","374","Std","","38 02 1F 00 00 00 00 00"
"00:30:32.134","374","Std","","41 00 00 00 00 00 00 00"
"00:30:32.135","18F","Std","","00 F8 00 20 02 00 00 F2"
"00:30:32.136","18F","Std","","28 2D 00 00 00 00 00 00"
"00:30:32.136","112","Std","","00 F9 00 24 F9 00 00 00"
"00:30:32.136","18F","Std","","30 00 00 00 C0 00 00 00"
"00:30:32.136","112","Std","","28 00 00 F2 3B D8 01 78"
"00:30:32.137","18F","Std","","38 00 00 00 00 00 00 00"
"00:30:32.137","112","Std","","30 02 88 02 58 58 FC 03"
"00:30:32.137","18F","Std","","47 00 00 00 00 00 00 04"
"00:30:32.137","112","Std","","38 FE C4 CE C4 01 68 FE"
"00:30:32.138","112","Std","","20 B0 CE BC 01 70 FE B8"
"00:30:32.138","112","Std","","4C CE BC 01 64 00 00 00"
"00:30:32.148","111","Std","","00 FC 00 24 FC 00 00 00"
"00:30:32.148","111","Std","","28 00 00 F2 49 D8 01 78"
"00:30:32.148","111","Std","","30 02 88 02 58 17 FF 03"
"00:30:32.148","111","Std","","38 FE C8 D1 E0 00 A8 FE"
"00:30:32.149","111","Std","","20 D0 D1 EC 00 A0 FE CC"
"00:30:32.149","111","Std","","4C D1 F8 00 A4 00 00 00"
"00:30:32.155","301","Std","","66 E4 30 E3 00 00 D5 88"
"00:30:32.156","20D","Std","","00 63 00 24 64 78 01 03"
"00:30:32.156","20D","Std","","28 00 00 A1 63 00 00 00"
"00:30:32.156","20D","Std","","30 03 00 00 63 00 00 00"
"00:30:32.157","20D","Std","","38 7E F1 00 00 41 8F ED"
"00:30:32.157","20D","Std","","20 3D EF 8C 3C 99 9C 99"
"00:30:32.157","20D","Std","","4C 1B 3B D1 9D 00 00 00"
"00:30:32.157","320","Std","","66 E2 E3 A2 83 78 40 02"
"00:30:32.164","112","Std","","00 FA 00 24 FA 00 00 00"
"00:30:32.165","112","Std","","28 00 00 F2 59 D8 01 78"
"00:30:32.165","112","Std","","30 02 88 02 58 95 FD 03"
"00:30:32.165","112","Std","","38 FE C0 CE C8 01 54 FE"
"00:30:32.165","212","Std","","00 C6 00 24 C7 E6 01 03"
"00:30:32.165","112","Std","","20 CC CE D0 01 50 FE E4"
"00:30:32.166","212","Std","","28 00 00 A1 63 00 00 00"
"00:30:32.166","112","Std","","4C CE C8 01 5C 00 00 00"
"00:30:32.166","212","Std","","30 03 00 00 63 00 00 00"
"00:30:32.166","211","Std","","00 C6 00 24 C7 E6 01 03"
"00:30:32.167","211","Std","","28 00 00 A1 63 00 00 00"
"00:30:32.167","211","Std","","30 03 00 00 63 00 00 00"
"00:30:32.167","211","Std","","38 7E F1 00 00 36 B5 DF"
"00:30:32.167","211","Std","","20 A2 F3 56 00 00 00 00"
"00:30:32.168","211","Std","","4C 03 B2 CB 23 00 00 00"
"00:30:32.168","212","Std","","38 7E F1 00 00 36 B5 DF"
"00:30:32.168","212","Std","","20 A2 F3 56 00 00 00 00"
"00:30:32.168","212","Std","","4C 03 B2 C8 57 00 00 00"
"00:30:32.177","111","Std","","00 FD 00 24 FD 00 00 00"
